username,positive_percentage,neutral_percentage,negative_percentage,sentiment_score,dominant_sentiment
_ohsosoph,35.55,28.49,35.96,49.79,Neutral 😐
_riccamilla_,,,,0.0,Neutral 😐
a1andar,50.0,0.0,50.0,50.0,Neutral 😐
a_cesigirl,35.73,28.8,35.47,50.13,Neutral 😐
a_costantino,32.14,28.57,39.29,46.43,Neutral 😐
a_granitto44,36.7,26.61,36.7,50.0,Neutral 😐
a_minhouse,100.0,0.0,0.0,100.0,Positive 😄
aalexandersen,,,,0.0,Neutral 😐
aaljumah,37.23,26.0,36.77,50.23,Neutral 😐
aanniethomas,69.86,19.86,10.27,79.79,Positive 😄
aaron_and_gavin,76.67,20.0,3.33,86.67,Positive 😄
aashauntetremaine,61.76,26.47,11.76,75.0,Positive 😄
aasian,68.01,17.57,14.42,76.79,Positive 😄
aastronauta_,35.97,30.19,33.84,51.06,Neutral 😐
abbeysoandso,69.44,19.66,10.9,79.27,Positive 😄
abbycblack_,34.88,32.56,32.56,51.16,Neutral 😐
abbyemason,72.28,17.82,9.9,81.19,Positive 😄
abbymixon,100.0,0.0,0.0,100.0,Positive 😄
abelardo,68.61,19.34,12.05,78.28,Positive 😄
abibarrs,44.44,22.22,33.33,55.56,Neutral 😐
aboutfacephilly,78.12,9.38,12.5,82.81,Positive 😄
aboutfny,65.91,23.25,10.85,77.53,Positive 😄
aboutmateria,36.26,23.08,40.66,47.8,Neutral 😐
aboveandbeblonde,64.26,23.7,12.05,76.11,Positive 😄
abraham_van_detta,35.63,27.97,36.4,49.62,Neutral 😐
absterr7,36.56,26.88,36.56,50.0,Neutral 😐
acqua_mood,89.09,9.09,1.82,93.64,Positive 😄
actormaddy,36.78,28.12,35.1,50.84,Neutral 😐
acupofkeen,35.54,28.37,36.09,49.72,Neutral 😐
adamjk,69.95,16.93,13.12,78.41,Positive 😄
adamw,34.59,30.26,35.15,49.72,Neutral 😐
adayinthelifedad,34.97,30.52,34.51,50.23,Neutral 😐
addicted_to_bargains,66.65,20.01,13.34,76.65,Positive 😄
addisonswonderland,35.28,29.74,34.98,50.15,Neutral 😐
adeenasussman,34.27,30.59,35.14,49.56,Neutral 😐
adelinerapon,59.15,29.02,11.83,73.66,Positive 😄
adiharseva,66.67,20.59,12.75,76.96,Positive 😄
adpolicehq,38.24,26.47,35.29,51.47,Neutral 😐
adrianaction,34.92,29.1,35.98,49.47,Neutral 😐
adriannammason,90.91,9.09,0.0,95.45,Positive 😄
adriehawk,35.16,30.78,34.06,50.55,Neutral 😐
adrienleyronas,66.92,21.43,11.65,77.63,Positive 😄
adritomato,76.0,20.0,4.0,86.0,Positive 😄
adstasher,40.0,30.0,30.0,55.0,Neutral 😐
adventure_meets_style,34.78,29.14,36.08,49.35,Neutral 😐
africanyoutubeers,100.0,0.0,0.0,100.0,Positive 😄
afrostylicity,66.39,21.89,11.71,77.34,Positive 😄
afrovitalityeats,34.78,30.43,34.78,50.0,Neutral 😐
agenturamflughafen,33.33,33.33,33.33,50.0,Neutral 😐
ageofreasonstudios,63.19,27.17,9.65,76.77,Positive 😄
agirlwithajournal,68.77,20.44,10.79,78.99,Positive 😄
agnekavaliauskaite,100.0,0.0,0.0,100.0,Positive 😄
agostinasaracco,34.38,30.25,35.38,49.5,Neutral 😐
agrabahmermaid,78.43,15.69,5.88,86.27,Positive 😄
aimeebourque,67.69,21.16,11.15,78.27,Positive 😄
aimeerancer,34.56,30.59,34.85,49.85,Neutral 😐
aimperfectmom,36.36,27.27,36.36,50.0,Neutral 😐
ainsuhadaahmad,31.71,36.59,31.71,50.0,Neutral 😐
aisha_antoinette,64.29,21.43,14.29,75.0,Positive 😄
ajionaalexus,35.51,29.26,35.23,50.14,Neutral 😐
ajuliarabello,65.45,22.0,12.54,76.45,Positive 😄
akardon1,35.71,28.57,35.71,50.0,Neutral 😐
akilacristiano,35.9,29.25,34.85,50.52,Neutral 😐
akunnaezekwem,34.66,29.62,35.71,49.47,Neutral 😐
alahxa,66.67,20.0,13.33,76.67,Positive 😄
alaynaflan,63.62,24.34,12.04,75.79,Positive 😄
alchemisteating,76.47,17.65,5.88,85.29,Positive 😄
aleahshilling,66.87,21.11,12.02,77.43,Positive 😄
aleexweb,81.48,7.41,11.11,85.19,Positive 😄
alejandromirsha,63.98,24.03,11.99,76.0,Positive 😄
alejandrotorovo,66.08,23.98,9.94,78.07,Positive 😄
alenafoodphoto,66.78,21.87,11.35,77.71,Positive 😄
alessaberry,36.67,25.59,37.74,49.47,Neutral 😐
alessandracrinzi,65.65,21.69,12.66,76.49,Positive 😄
alessandrascutnik,35.98,28.74,35.28,50.35,Neutral 😐
alessiadrinklipstick,68.32,18.85,12.83,77.74,Positive 😄
alessiareato,35.15,30.38,34.46,50.35,Neutral 😐
alessiosakaraofficial,63.62,26.1,10.28,76.67,Positive 😄
alexa_lngr,34.78,30.43,34.78,50.0,Neutral 😐
alexajadewarren,37.16,28.38,34.46,51.35,Neutral 😐
alexander__glover,34.37,31.54,34.09,50.14,Neutral 😐
alexanderkopacz,73.91,14.29,11.8,81.06,Positive 😄
alexandra_plans,33.33,33.33,33.33,50.0,Neutral 😐
alexandrawlf,74.94,19.16,5.9,84.52,Positive 😄
alexbrdd,30.0,30.0,40.0,45.0,Neutral 😐
alexeidos,63.21,25.13,11.66,75.78,Positive 😄
alexiaarosse,34.48,31.03,34.48,50.0,Neutral 😐
alexis_howell,100.0,0.0,0.0,100.0,Positive 😄
alexjiggs,64.6,20.8,14.6,75.0,Positive 😄
alexk2s,35.62,31.51,32.88,51.37,Neutral 😐
alexpaigeclark,69.52,20.0,10.48,79.52,Positive 😄
alexsimpson_x,34.44,30.78,34.78,49.83,Neutral 😐
alexzandrathomas,81.82,12.12,6.06,87.88,Positive 😄
aleydaortiz,64.95,21.99,13.06,75.95,Positive 😄
alfalasi81,41.67,25.0,33.33,54.17,Neutral 😐
ali_arrington,61.29,29.03,9.68,75.81,Positive 😄
ali_momthingreviews,0.0,0.0,100.0,0.0,Negative 😔
alicecampello,35.81,29.5,34.69,50.56,Neutral 😐
alikirbymn,37.84,27.03,35.14,51.35,Neutral 😐
alilykat,76.12,13.43,10.45,82.84,Positive 😄
alina_und_die_3_zwerge,35.33,30.21,34.47,50.43,Neutral 😐
alinascheuringer,32.94,32.47,34.59,49.18,Neutral 😐
alisamyng,55.56,33.33,11.11,72.22,Positive 😄
alisonksaylor,36.09,28.32,35.59,50.25,Neutral 😐
alisontedford,34.57,30.86,34.57,50.0,Neutral 😐
alissayoga,65.81,21.92,12.27,76.77,Positive 😄
alivialevie,34.92,29.83,35.25,49.83,Neutral 😐
alixs_wonderland,35.11,31.25,33.64,50.73,Neutral 😐
alizelim,35.13,29.55,35.32,49.91,Neutral 😐
alksne,65.89,22.2,11.91,76.99,Positive 😄
allaboutthatfunkolife,78.09,18.54,3.37,87.36,Positive 😄
allhailsthekale,35.63,28.75,35.63,50.0,Neutral 😐
allieann__,35.32,29.59,35.1,50.11,Neutral 😐
alliegee319,35.39,29.92,34.68,50.35,Neutral 😐
alliesevdalis,34.43,31.6,33.96,50.24,Neutral 😐
allisguijarro,35.42,29.04,35.54,49.94,Neutral 😐
allisoncdurham,39.47,28.95,31.58,53.95,Neutral 😐
allisonwetig,35.42,31.25,33.33,51.04,Neutral 😐
allisonwondderland,34.8,29.75,35.45,49.68,Neutral 😐
allitav,73.48,15.15,11.36,81.06,Positive 😄
allstarshaq,33.98,32.3,33.72,50.13,Neutral 😐
allynah0,36.17,29.55,34.28,50.95,Neutral 😐
almamicic,100.0,0.0,0.0,100.0,Positive 😄
almost_chic,34.46,29.27,36.27,49.09,Neutral 😐
aloette_hollywood,66.67,16.67,16.67,75.0,Positive 😄
alohaa_jana,34.91,30.3,34.8,50.06,Neutral 😐
alohalovelyhawaii,66.62,22.11,11.27,77.67,Positive 😄
alsiafy,79.52,13.25,7.23,86.14,Positive 😄
altermebel18,100.0,0.0,0.0,100.0,Positive 😄
aluisalopes,33.33,30.95,35.71,48.81,Neutral 😐
aluiza__,35.7,29.51,34.79,50.45,Neutral 😐
alvainnala,35.29,27.83,36.88,49.21,Neutral 😐
alvarosanzpascual,81.25,18.75,0.0,90.62,Positive 😄
alwayshungrychi,63.15,23.43,13.42,74.86,Positive 😄
alwaysmeliss,34.69,30.51,34.8,49.94,Neutral 😐
alyssacherise,67.62,22.51,9.87,78.88,Positive 😄
alyssalynch,65.25,22.27,12.49,76.38,Positive 😄
alyssapillay,37.23,28.59,34.18,51.53,Neutral 😐
amakahamelijnck,35.85,28.56,35.59,50.13,Neutral 😐
amanda_allison,68.8,18.43,12.78,78.01,Positive 😄
amanda_nicole0603,33.33,33.33,33.33,50.0,Neutral 😐
amandabatula,64.42,23.31,12.27,76.08,Positive 😄
amandabrezovsky,66.35,22.08,11.57,77.39,Positive 😄
amandacaseyvance,65.57,21.45,12.99,76.29,Positive 😄
amandaccrowe,34.65,29.46,35.89,49.38,Neutral 😐
amandacotting,71.22,19.9,8.88,81.17,Positive 😄
amandafouss,66.36,20.99,12.65,76.85,Positive 😄
amandafranxes,72.86,20.0,7.14,82.86,Positive 😄
amandapereira,67.21,21.97,10.82,78.19,Positive 😄
amandasteele,35.38,29.11,35.51,49.94,Neutral 😐
amandinesld,63.5,23.61,12.89,75.3,Positive 😄
amareisreal,62.48,26.46,11.06,75.71,Positive 😄
amber_belovely,69.38,20.54,10.08,79.65,Positive 😄
amberallurecupcakes,34.79,30.22,34.99,49.9,Neutral 😐
amberhuanng,63.0,24.88,12.12,75.44,Positive 😄
amberormondroyd,66.42,23.62,9.97,78.22,Positive 😄
amberrrwang,78.95,14.04,7.02,85.96,Positive 😄
amberscholl,37.54,28.58,33.87,51.84,Neutral 😐
ameer_mango,,,,0.0,Neutral 😐
amelia_nymphea,62.5,23.85,13.65,74.42,Positive 😄
ameliafreer,34.17,32.64,33.19,50.49,Neutral 😐
ameliarosepark,61.29,29.03,9.68,75.81,Positive 😄
ameliathecav,62.84,25.44,11.71,75.57,Positive 😄
ameriaus,35.94,29.28,34.78,50.58,Neutral 😐
americatravels,34.85,29.74,35.42,49.72,Neutral 😐
amerrymishap,36.73,28.68,34.59,51.07,Neutral 😐
amesinteriors,36.66,31.7,31.64,52.51,Neutral 😐
amgreetings,34.34,32.05,33.61,50.36,Neutral 😐
amicidichicco,75.0,18.75,6.25,84.38,Positive 😄
amigofit_,68.22,21.71,10.08,79.07,Positive 😄
amimaunier,67.61,23.94,8.45,79.58,Positive 😄
amimoda,37.11,29.9,32.99,52.06,Neutral 😐
aminaali_mua,34.57,29.8,35.63,49.47,Neutral 😐
aminesidharth4you,35.29,26.47,38.24,48.53,Neutral 😐
amputee_kat,33.33,30.95,35.71,48.81,Neutral 😐
amumsstyle,35.03,29.44,35.53,49.75,Neutral 😐
amy_daniels,66.8,22.39,10.81,77.99,Positive 😄
amydotscott,68.23,18.51,13.26,77.48,Positive 😄
amymeekspac,27.27,27.27,45.45,40.91,Neutral 😐
amysoub,33.99,30.07,35.95,49.02,Neutral 😐
ana_b_artistry,72.02,20.11,7.87,82.07,Positive 😄
ana_svjetlicic,35.18,29.55,35.26,49.96,Neutral 😐
anacelinexo,65.47,22.7,11.83,76.82,Positive 😄
anaclaraac,34.37,31.24,34.38,49.99,Neutral 😐
anaellepostollec,36.83,28.6,34.57,51.13,Neutral 😐
anafilipafariacardoso,80.56,19.44,0.0,90.28,Positive 😄
anaiswho,34.29,31.09,34.62,49.84,Neutral 😐
analisaxcx,32.05,33.94,34.0,49.02,Neutral 😐
anallievent,80.0,20.0,0.0,90.0,Positive 😄
anamariefaith,,,,0.0,Neutral 😐
anasclifos,37.04,29.63,33.33,51.85,Neutral 😐
anastasia_greer,33.33,33.33,33.33,50.0,Neutral 😐
anastasialovera,35.24,29.45,35.31,49.96,Neutral 😐
anastasiya_kvitko,34.95,29.97,35.09,49.93,Neutral 😐
anatanaka,34.09,31.05,34.85,49.62,Neutral 😐
anaya_perry,35.62,27.94,36.44,49.59,Neutral 😐
andiytj,33.53,27.89,38.58,47.47,Neutral 😐
andrayatighe,73.75,20.0,6.25,83.75,Positive 😄
andreabsolid,84.85,12.12,3.03,90.91,Positive 😄
andrealepsoe,33.33,33.33,33.33,50.0,Neutral 😐
andreinaduven,72.95,20.49,6.56,83.2,Positive 😄
andreinaparra,35.68,29.71,34.61,50.54,Neutral 😐
andrejavit,40.0,30.0,30.0,55.0,Neutral 😐
andrewcooperx,63.54,25.08,11.38,76.08,Positive 😄
andrewjim,35.11,30.02,34.86,50.12,Neutral 😐
andrewknisley,76.92,23.08,0.0,88.46,Positive 😄
andrewpinnella,69.01,19.25,11.74,78.64,Positive 😄
andrewslyfox,67.65,20.76,11.59,78.03,Positive 😄
andriellyneri,34.55,32.1,33.35,50.6,Neutral 😐
andro_id_,34.74,29.87,35.39,49.68,Neutral 😐
andweaso,38.46,30.77,30.77,53.85,Neutral 😐
andy_raab,35.0,29.17,35.83,49.58,Neutral 😐
andyandra,35.2,28.97,35.83,49.69,Neutral 😐
andyto,34.45,31.0,34.55,49.95,Neutral 😐
anewyorkloveaffair,68.55,20.74,10.71,78.92,Positive 😄
ang_e_lik,66.0,21.46,12.54,76.73,Positive 😄
angelakajo,38.18,26.06,35.76,51.21,Neutral 😐
angelicaheggen,34.98,32.02,33.0,50.99,Neutral 😐
angelicawennergren,69.5,18.95,11.55,78.98,Positive 😄
angelinaaelizabethh,66.77,23.04,10.19,78.29,Positive 😄
angelinacecilias,61.22,24.49,14.29,73.47,Positive 😄
angeliquekeuven,50.0,33.33,16.67,66.67,Positive 😄
angiesangelhelpnetwork,,,,0.0,Neutral 😐
angoodhue,34.75,30.1,35.15,49.8,Neutral 😐
anisaartistry,35.14,29.88,34.98,50.08,Neutral 😐
anitabagosi,33.33,33.33,33.33,50.0,Neutral 😐
anjallisukumaran,68.42,22.37,9.21,79.61,Positive 😄
ankatrien,67.57,18.72,13.71,76.93,Positive 😄
anllela_sagra,61.83,24.99,13.17,74.33,Positive 😄
annakaragiannidou,74.12,11.9,13.98,80.07,Positive 😄
annamariehall,31.82,31.82,36.36,47.73,Neutral 😐
annapaularesende,31.85,37.04,31.11,50.37,Neutral 😐
anne_bannert,33.72,32.32,33.96,49.88,Neutral 😐
annekarolinee,35.33,29.89,34.78,50.27,Neutral 😐
annelore_compleetgeluk,45.45,18.18,36.36,54.55,Neutral 😐
annelyliqhn,68.31,21.66,10.03,79.14,Positive 😄
annetheresebengtsson,34.39,30.45,35.15,49.62,Neutral 😐
annieatoz,34.93,30.02,35.05,49.94,Neutral 😐
anniecatalan,67.6,22.89,9.51,79.04,Positive 😄
annieerm,34.58,28.97,36.45,49.07,Neutral 😐
anniejorgensen,65.92,23.1,10.99,77.46,Positive 😄
anniesforgetmeknots,37.68,26.74,35.58,51.05,Neutral 😐
annikakotrc,69.55,20.51,9.94,79.81,Positive 😄
annissamunaf,70.27,18.92,10.81,79.73,Positive 😄
annkathrinmartin,66.53,19.79,13.68,76.43,Positive 😄
anouskapb,68.26,20.07,11.67,78.29,Positive 😄
anto_lancuba,69.77,20.93,9.3,80.23,Positive 😄
antoniatilch,70.21,19.15,10.64,79.79,Positive 😄
anyuta_rai,62.98,26.47,10.56,76.21,Positive 😄
aoioa,67.53,19.48,12.99,77.27,Positive 😄
apetogentleman,35.56,28.89,35.56,50.0,Neutral 😐
apoelise,66.82,21.86,11.32,77.75,Positive 😄
aprilaugustphotos,38.3,27.66,34.04,52.13,Neutral 😐
ar1gona,34.34,30.94,34.72,49.81,Neutral 😐
architempore,35.09,29.82,35.09,50.0,Neutral 😐
arden_connemaras,35.51,32.71,31.78,51.87,Neutral 😐
arepaliciousny,100.0,0.0,0.0,100.0,Positive 😄
arezzopinda,,,,0.0,Neutral 😐
aria_t1d,33.33,33.33,33.33,50.0,Neutral 😐
ariadnatb,35.31,27.96,36.73,49.29,Neutral 😐
arielle_miller,65.18,22.93,11.89,76.65,Positive 😄
arifashionthread,62.79,27.91,9.3,76.74,Positive 😄
arimichellel,71.23,16.44,12.33,79.45,Positive 😄
arnaulloberaa,35.18,27.55,37.28,48.95,Neutral 😐
arnnoo,37.5,29.69,32.81,52.34,Neutral 😐
around_houses,66.0,23.5,10.5,77.75,Positive 😄
arsportfitnessvilavelha,34.04,31.91,34.04,50.0,Neutral 😐
art_by_farisroslan,70.27,21.08,8.65,80.81,Positive 😄
aryannepadilha,67.22,21.28,11.5,77.86,Positive 😄
ascodecara,61.06,30.96,7.98,76.54,Positive 😄
ashaara_,100.0,0.0,0.0,100.0,Positive 😄
asharysdesign,,,,0.0,Neutral 😐
ashhtaylor,34.87,30.26,34.87,50.0,Neutral 😐
ashleigh_dunn_,35.08,30.36,34.55,50.27,Neutral 😐
ashleighmareeross,33.88,30.08,36.04,48.92,Neutral 😐
ashley_delucca,37.64,25.86,36.49,50.57,Neutral 😐
ashley_yn,83.33,11.9,4.76,89.29,Positive 😄
ashleychmelka,35.63,29.4,34.97,50.33,Neutral 😐
ashleynatasha,42.42,18.18,39.39,51.52,Neutral 😐
ashleynii,35.34,29.55,35.11,50.11,Neutral 😐
ashleynordyke,34.58,28.69,36.73,48.93,Neutral 😐
ashleysolbergblog,35.01,30.2,34.79,50.11,Neutral 😐
ashtinelikekutcher,34.93,29.96,35.12,49.91,Neutral 😐
ashuele,35.71,28.57,35.71,50.0,Neutral 😐
ashyi,66.35,21.76,11.89,77.23,Positive 😄
askatewouldhaveit,33.61,28.57,37.82,47.9,Neutral 😐
askmen,,,,0.0,Neutral 😐
asparkleofgenius,37.36,28.57,34.07,51.65,Neutral 😐
astridriveratv,74.19,16.13,9.68,82.26,Positive 😄
aswildchild,65.79,22.18,12.03,76.88,Positive 😄
at_dads_table,34.46,31.07,34.46,50.0,Neutral 😐
athomewithshanna,64.07,22.33,13.6,75.24,Positive 😄
atl_bucketlist,35.35,29.23,35.43,49.96,Neutral 😐
atlasandmason,35.08,29.97,34.95,50.06,Neutral 😐
atomicmari,65.14,23.35,11.51,76.81,Positive 😄
atozsports,52.69,39.38,7.93,72.38,Positive 😄
audrey_ctr,34.84,29.76,35.41,49.71,Neutral 😐
audreyhirschl,69.92,21.95,8.13,80.89,Positive 😄
audreyhopeofficial,64.46,22.91,12.63,75.92,Positive 😄
audreylittie,34.69,30.25,35.07,49.81,Neutral 😐
audreyrotermund,36.84,28.95,34.21,51.32,Neutral 😐
aureliablog,35.57,28.87,35.57,50.0,Neutral 😐
auroramccausland,34.51,29.71,35.78,49.37,Neutral 😐
austenandparker,40.0,20.0,40.0,50.0,Neutral 😐
authenticangela,34.34,31.72,33.94,50.2,Neutral 😐
autumnsauvan,40.0,20.0,40.0,50.0,Neutral 😐
avenuedesreveries,65.49,21.55,12.96,76.26,Positive 😄
averageblackgirl,35.48,29.03,35.48,50.0,Neutral 😐
aviationeverywhere,34.63,30.88,34.5,50.06,Neutral 😐
avivadrescher,64.57,23.94,11.49,76.54,Positive 😄
axisagency,84.62,15.38,0.0,92.31,Positive 😄
ay_jayy,37.93,25.86,36.21,50.86,Neutral 😐
ayaimamura,66.84,22.52,10.65,78.09,Positive 😄
aychristene,74.15,14.97,10.88,81.63,Positive 😄
ayoedebiri,61.64,28.3,10.06,75.79,Positive 😄
ayozion,84.09,6.82,9.09,87.5,Positive 😄
azvleticia,32.14,28.57,39.29,46.43,Neutral 😐
b1039radio,100.0,0.0,0.0,100.0,Positive 😄
b_charline,37.44,27.93,34.63,51.4,Neutral 😐
babyanaisha,37.06,28.01,34.93,51.07,Neutral 😐
babycenterlatino,36.0,32.0,32.0,52.0,Neutral 😐
bachelorettepadflip,72.45,16.33,11.22,80.61,Positive 😄
backhandkeeper,100.0,0.0,0.0,100.0,Positive 😄
bad_to_the_bonebroth,69.1,20.64,10.26,79.42,Positive 😄
baglyosevii,86.67,6.67,6.67,90.0,Positive 😄
baileybarker7,77.78,14.81,7.41,85.19,Positive 😄
balancebymolly,67.03,20.82,12.15,77.44,Positive 😄
balancewithb,63.58,23.93,12.49,75.54,Positive 😄
baltimorefoodies,65.0,22.5,12.5,76.25,Positive 😄
bambambaklava,36.3,28.75,34.95,50.67,Neutral 😐
bangonstyle,34.26,31.36,34.38,49.94,Neutral 😐
bara_vot,37.88,29.32,32.8,52.54,Neutral 😐
barb_sweet,37.5,25.0,37.5,50.0,Neutral 😐
barb_webb,66.52,23.46,10.03,78.25,Positive 😄
barbarakristoffersen,33.72,32.97,33.31,50.2,Neutral 😐
barbaraschoumacher,67.73,21.43,10.84,78.45,Positive 😄
barbellsandboots,66.16,21.22,12.62,76.77,Positive 😄
barbershopconnect,34.76,32.93,32.32,51.22,Neutral 😐
bardigang,71.06,17.77,11.17,79.94,Positive 😄
barkleydoodles,35.87,28.25,35.88,49.99,Neutral 😐
basementbakehouse_sw,78.65,17.98,3.37,87.64,Positive 😄
basketballvines,34.0,34.83,31.17,51.42,Neutral 😐
basmamagazine,68.31,22.54,9.15,79.58,Positive 😄
bbcbreakfast,39.13,28.26,32.61,53.26,Neutral 😐
bcuvoice,33.33,33.33,33.33,50.0,Neutral 😐
be_lindaaa,34.41,30.38,35.21,49.6,Neutral 😐
beabettotti,33.13,31.9,34.97,49.08,Neutral 😐
beamingbaker,34.59,32.4,33.01,50.79,Neutral 😐
beamotta,68.18,22.73,9.09,79.55,Positive 😄
beardabouttown,66.67,16.67,16.67,75.0,Positive 😄
beatarydyger,69.77,22.48,7.75,81.01,Positive 😄
beatricegherardini,65.26,23.16,11.58,76.84,Positive 😄
beatriceleesn,36.05,27.89,36.05,50.0,Neutral 😐
beatriz_detodalavida,34.78,29.48,35.73,49.52,Neutral 😐
beatseb,34.26,29.08,36.65,48.8,Neutral 😐
beatyafaceduo,34.72,30.25,35.03,49.84,Neutral 😐
beauregardbasset,34.8,29.52,35.68,49.56,Neutral 😐
beautiesandthebibs,71.79,19.41,8.79,81.5,Positive 😄
beautifulyouliverpool,36.21,25.86,37.93,49.14,Neutral 😐
beauty_by_elley,67.69,21.56,10.74,78.48,Positive 😄
beauty_informer,35.73,28.82,35.45,50.14,Neutral 😐
beauty_n_brawn,65.99,21.29,12.73,76.63,Positive 😄
beautybrite,34.86,29.82,35.32,49.77,Neutral 😐
beautybyannierosee,35.03,29.7,35.28,49.87,Neutral 😐
beautybyheatherann,67.91,22.01,10.07,78.92,Positive 😄
beautycon,67.06,21.93,11.01,78.03,Positive 😄
beautyjulianna_,67.07,21.59,11.33,77.87,Positive 😄
beauxgeaux,36.22,29.92,33.86,51.18,Neutral 😐
bebasuki,35.25,29.94,34.8,50.22,Neutral 😐
becca_trujillo,35.76,28.99,35.24,50.26,Neutral 😐
beccacharlton_insta,35.97,29.14,34.89,50.54,Neutral 😐
beccaskinner,69.77,19.21,11.02,79.37,Positive 😄
beckygargentina,100.0,0.0,0.0,100.0,Positive 😄
beckywillis,66.67,28.0,5.33,80.67,Positive 😄
beerboysadl,36.84,28.07,35.09,50.88,Neutral 😐
beetology,68.18,22.73,9.09,79.55,Positive 😄
behindthereddoor,,,,0.0,Neutral 😐
being_dmg_fc,40.0,20.0,40.0,50.0,Neutral 😐
bekah_ruckart,85.71,14.29,0.0,92.86,Positive 😄
beko,33.27,31.24,35.48,48.89,Neutral 😐
belecodesign,64.46,27.27,8.26,78.1,Positive 😄
